ticker,company_name,price,chg_pct,net_score,bull,bear,verdict,bars,mode,Candle,Candle_label,Volume,Volume_label,SMA,SMA_label,Gaps,Gaps_label,Stoch,Stoch_label,CCI,CCI_label,RR,RR_label,fib_anchor,fib_swing_high,fib_swing_low,fib_direction,fib_entry,fib_entry_label,fib_stop,fib_stop_label,fib_t1,fib_t1_label,fib_t2,fib_t2_label,fib_t3,fib_t3_label,fib_rr_t1,fib_rr_t2,fib_rr_t3,fib_next_target,fib_next_label,fib_support_1,fib_resistance_1,fib_r_R 23p6,fib_r_R 38p2,fib_r_R 50p0,fib_r_R 61p8,fib_r_R 78p6,fib_e_E 100p0,fib_e_E 127p2,fib_e_E 138p2,fib_e_E 161p8,fib_e_E 200p0,fib_e_E 261p8
MU,"Micron Technology, Inc.",935.89,,2,4,2,Moderately bullish,250,Daily,bear,Bearish engulfing,bear,Above trend,bull,Wide divergence above SMA,neutral,Open gaps above and below,bull,%K above %D (bullish cross),bull,Bullish zone,bull,Above SMA (acting as support),session,1089.29,854.35,bullish,999.54,R 38.2%,944.1,R 61.8%,1089.29,E 100.0%,1153.19,E 127.2%,1234.48,E 161.8%,1.62,2.77,4.24,1089.29,E 100.0%,904.63,944.1,1033.84,999.54,971.82,944.1,904.63,1089.29,1153.19,1179.04,1234.48,1324.23,1469.42
MDLZ,"Mondelez International, Inc.",62.93,,2,4,2,Moderately bullish,250,Daily,bull,Bullish bar,bull,Above trend,bull,Near 20-period SMA (above),neutral,Open gaps above and below,bear,Overbought · Wide divergence,bear,Overbought (> +100),bull,Breakout above prior resistance,session,63.29,59.95,bullish,62.01,R 38.2%,61.23,R 61.8%,63.29,E 100.0%,64.2,E 127.2%,65.35,E 161.8%,1.64,2.81,4.28,63.29,E 100.0%,62.5,63.29,62.5,62.01,61.62,61.23,60.66,63.29,64.2,64.57,65.35,66.63,68.69
VRSK,"Verisk Analytics, Inc.",182.55,,2,4,2,Moderately bullish,250,Daily,bull,Bullish engulfing,bull,Above trend,bull,Wide divergence above SMA,neutral,Open gaps above and below,bear,Overbought,bear,Overbought (> +100),bull,Above SMA (acting as support),session,184.85,169.52,bullish,178.99,R 38.2%,175.38,R 61.8%,184.85,E 100.0%,189.02,E 127.2%,194.32,E 161.8%,1.62,2.78,4.25,184.85,E 100.0%,181.23,184.85,181.23,178.99,177.19,175.38,172.8,184.85,189.02,190.71,194.32,200.18,209.65
CMCSA,Comcast Corporation,23.85,,1,3,2,Neutral,250,Daily,bull,Bullish bar,neutral,In line with trend,bear,Near 20-period SMA (below),neutral,No open gaps nearby,bull,%K above %D (bullish cross),bull,Oversold (< -100),bear,Below SMA (acting as resistance),session,25.13,23.13,bullish,24.37,R 38.2%,23.89,R 61.8%,25.13,E 100.0%,25.67,E 127.2%,26.37,E 161.8%,1.58,2.71,4.17,25.13,E 100.0%,23.56,23.89,24.66,24.37,24.13,23.89,23.56,25.13,25.67,25.89,26.37,27.13,28.37
PEP,"PepsiCo, Inc.",142.78,,1,4,3,Neutral,250,Daily,bull,Bullish bar,bull,Above trend,bear,Near 20-period SMA (below),bull,2 open gap(s) below (support),bull,%K above %D (bullish cross),bear,Bearish zone,bear,Below SMA (acting as resistance),session,145.24,139.26,bullish,142.96,R 38.2%,141.55,R 61.8%,145.24,E 100.0%,146.87,E 127.2%,148.94,E 161.8%,1.62,2.77,4.24,145.24,E 100.0%,142.25,142.96,143.83,142.96,142.25,141.55,140.54,145.24,146.87,147.53,148.94,151.22,154.92
AMAT,"Applied Materials, Inc.",499.21,,1,4,3,Neutral,250,Daily,bear,Bearish bar,bear,Above trend,bull,Wide divergence above SMA,bull,8 open gap(s) below (support),bull,%K above %D (bullish cross),bear,Overbought (> +100),bull,Above SMA (acting as support),session,525.98,438.22,bullish,492.46,R 38.2%,471.74,R 61.8%,525.98,E 100.0%,549.85,E 127.2%,580.22,E 161.8%,1.62,2.77,4.24,525.98,E 100.0%,492.46,505.27,505.27,492.46,482.1,471.74,457.0,525.98,549.85,559.5,580.22,613.74,667.98
GOOGL,Alphabet Inc.,364.26,,0,3,3,Neutral,250,Daily,bear,Bearish bar,neutral,In line with trend,bear,Near 20-period SMA (below),bull,7 open gap(s) below (support),bull,Oversold,bull,Oversold (< -100),bear,Below SMA (acting as resistance),session,385.01,357.3,neutral,371.16,R 50.0%,363.23,R 78.6%,378.47,R 23.6%,385.01,E 100.0%,392.55,E 127.2%,0.92,1.75,2.7,371.16,R 50.0%,363.23,367.89,378.47,374.42,371.16,367.89,363.23,385.01,392.55,395.6,402.13,412.72,429.84
NFLX,"Netflix, Inc.",81.41,,-1,2,3,Neutral,250,Daily,bear,Bearish bar,neutral,In line with trend,bear,Wide divergence below SMA,neutral,Open gaps above and below,bull,Oversold,bull,Oversold (< -100),bear,Below SMA (acting as resistance),session,87.23,81.0,bearish,83.38,R 38.2%,84.85,R 61.8%,81.0,E 100.0%,79.31,E 127.2%,77.15,E 161.8%,1.62,2.77,4.24,81.0,E 100.0%,81.0,82.47,82.47,83.38,84.12,84.85,85.9,81.0,79.31,78.62,77.15,74.77,70.92
QCOM,QUALCOMM Incorporated,205.42,,-1,3,4,Neutral,250,Daily,bull,Stale red (3-bar reversal),bear,Above trend,bear,Wide divergence below SMA,bull,4 open gap(s) below (support),bull,Oversold,bear,Bearish zone,bear,Below SMA (acting as resistance),session,258.96,192.67,bearish,217.99,R 38.2%,233.64,R 61.8%,192.67,E 100.0%,174.64,E 127.2%,151.7,E 161.8%,1.62,2.77,4.24,192.67,E 100.0%,192.67,208.32,208.32,217.99,225.82,233.64,244.78,192.67,174.64,167.35,151.7,126.38,85.41
KDP,Keurig Dr Pepper Inc.,31.48,,-1,2,3,Neutral,250,Daily,bear,Stale green (3-bar exhaustion),neutral,In line with trend,bull,Wide divergence above SMA,neutral,Open gaps above and below,bear,Overbought,bear,Overbought (> +100),bull,Above SMA (acting as support),session,31.6,29.67,bearish,30.41,R 38.2%,30.86,R 61.8%,29.67,E 100.0%,29.15,E 127.2%,28.48,E 161.8%,1.64,2.8,4.29,29.67,E 100.0%,31.19,,30.13,30.41,30.64,30.86,31.19,29.67,29.15,28.93,28.48,27.74,26.55
SNPS,"Synopsys, Inc.",465.27,,-1,2,3,Neutral,250,Daily,bear,Bearish engulfing,neutral,In line with trend,bear,Wide divergence below SMA,neutral,No open gaps nearby,bull,Oversold,bull,Oversold (< -100),bear,Below SMA (acting as resistance),session,508.72,451.0,bearish,473.05,R 38.2%,486.67,R 61.8%,451.0,E 100.0%,435.3,E 127.2%,415.33,E 161.8%,1.62,2.77,4.24,451.0,E 100.0%,464.62,473.05,464.62,473.05,479.86,486.67,496.37,451.0,435.3,428.95,415.33,393.28,357.61
WDC,Western Digital Corporation,517.72,,-1,2,3,Neutral,250,Daily,bear,Hanging man,neutral,In line with trend,bull,Near 20-period SMA (above),neutral,Open gaps above and below,bear,%K below %D (bearish cross),bull,Bullish zone,bear,Rejection at prior resistance,session,602.38,480.87,bearish,527.29,R 38.2%,555.96,R 61.8%,480.87,E 100.0%,447.82,E 127.2%,405.77,E 161.8%,1.62,2.77,4.24,480.87,E 100.0%,509.55,527.29,509.55,527.29,541.63,555.96,576.38,480.87,447.82,434.45,405.77,359.36,284.26
AAPL,Apple Inc.,290.55,,-2,2,4,Moderately bearish,250,Daily,bull,Stale red (3-bar reversal),bear,Above trend,bear,Near 20-period SMA (below),neutral,Open gaps above and below,bull,Oversold · Wide divergence,bear,Oversold (< -100) · Zero-line cross ↓,bear,Rejection at prior resistance,session,317.4,287.78,bearish,299.09,R 38.2%,306.09,R 61.8%,287.78,E 100.0%,279.72,E 127.2%,269.47,E 161.8%,1.62,2.77,4.23,287.78,E 100.0%,287.78,294.77,294.77,299.09,302.59,306.09,311.06,287.78,279.72,276.47,269.47,258.16,239.85
ZS,"Zscaler, Inc.",125.84,,-2,2,4,Moderately bearish,250,Daily,bear,Hanging man,neutral,Significantly below trend,bear,Wide divergence below SMA,bear,5 open gap(s) above (resistance),bull,Oversold,bull,Oversold (< -100),bear,Below SMA (acting as resistance),session,157.7,120.85,bearish,134.93,R 38.2%,143.62,R 61.8%,120.85,E 100.0%,110.83,E 127.2%,98.08,E 161.8%,1.62,2.77,4.24,120.85,E 100.0%,120.85,129.55,129.55,134.93,139.28,143.62,149.81,120.85,110.83,106.77,98.08,84.0,61.23
AVGO,Broadcom Inc.,392.16,,-2,2,4,Moderately bearish,250,Daily,bear,Hanging man,bear,Above trend,bear,Wide divergence below SMA,neutral,Open gaps above and below,bull,Oversold,bull,Oversold (< -100),bear,Below SMA (acting as resistance),session,495.0,370.33,bearish,417.95,R 38.2%,447.38,R 61.8%,370.33,E 100.0%,336.42,E 127.2%,293.28,E 161.8%,1.62,2.77,4.24,370.33,E 100.0%,370.33,399.75,399.75,417.95,432.66,447.38,468.32,370.33,336.42,322.71,293.28,245.66,168.61
NXPI,NXP Semiconductors N.V.,297.41,,-2,2,4,Moderately bearish,250,Daily,bull,Stale red (3-bar reversal),bear,Above trend,bear,Near 20-period SMA (below),neutral,Open gaps above and below,bull,%K above %D (bullish cross),bear,Bearish zone,bear,Below SMA (acting as resistance),session,335.0,279.36,bearish,300.61,R 38.2%,313.75,R 61.8%,279.36,E 100.0%,264.23,E 127.2%,244.97,E 161.8%,1.62,2.77,4.23,279.36,E 100.0%,292.49,300.61,292.49,300.61,307.18,313.75,323.09,279.36,264.23,258.11,244.97,223.72,189.33
ADSK,"Autodesk, Inc.",224.08,,-2,2,4,Moderately bearish,250,Daily,bull,Bullish bar,neutral,In line with trend,bear,Wide divergence below SMA,bear,2 open gap(s) above (resistance),bear,%K below %D (bearish cross),bull,Oversold (< -100),bear,Break below prior support,session,250.49,217.0,bearish,229.79,R 38.2%,237.7,R 61.8%,217.0,E 100.0%,207.89,E 127.2%,196.3,E 161.8%,1.62,2.77,4.23,217.0,E 100.0%,217.0,224.9,224.9,229.79,233.75,237.7,243.32,217.0,207.89,204.21,196.3,183.51,162.81
APP,AppLovin Corporation,520.84,,-3,1,4,Moderately bearish,250,Daily,bear,Bearish bar,neutral,In line with trend,bear,Near 20-period SMA (below),neutral,Open gaps above and below,bear,%K below %D (bearish cross) · Wide,bear,Bearish zone · Zero-line cross ↓,bull,Breakout above prior resistance,session,622.0,502.81,bearish,548.34,R 38.2%,576.47,R 61.8%,502.81,E 100.0%,470.39,E 127.2%,429.15,E 161.8%,1.62,2.77,4.24,502.81,E 100.0%,502.81,530.94,530.94,548.34,562.4,576.47,596.49,502.81,470.39,457.28,429.15,383.62,309.96
TSLA,"Tesla, Inc.",396.68,,-3,2,5,Moderately bearish,250,Daily,bear,Bearish bar,bear,Above trend,bear,Wide divergence below SMA,bear,1 open gap(s) above (resistance),bull,%K above %D (bullish cross),bull,Oversold (< -100),bear,Below SMA (acting as resistance),session,441.07,384.24,bearish,405.95,R 38.2%,419.36,R 61.8%,384.24,E 100.0%,368.78,E 127.2%,349.12,E 161.8%,1.62,2.77,4.24,384.24,E 100.0%,384.24,397.65,397.65,405.95,412.65,419.36,428.91,384.24,368.78,362.53,349.12,327.41,292.29
AMD,"Advanced Micro Devices, Inc.",475.51,,-3,2,5,Moderately bearish,250,Daily,bear,Bearish engulfing,bear,Above trend,bear,Near 20-period SMA (below),bull,7 open gap(s) below (support),bear,%K below %D (bearish cross),bear,Bearish zone · Zero-line cross ↓,bull,Breakout above prior resistance,session,546.44,437.23,bearish,478.95,R 38.2%,504.72,R 61.8%,437.23,E 100.0%,407.52,E 127.2%,369.74,E 161.8%,1.62,2.77,4.24,437.23,E 100.0%,463.0,478.95,463.0,478.95,491.84,504.72,523.07,437.23,407.52,395.51,369.74,328.02,260.53
COST,Costco Wholesale Corporation,968.59,,-3,1,4,Moderately bearish,250,Daily,bear,Bearish harami,neutral,In line with trend,bear,Near 20-period SMA (below),neutral,Open gaps above and below,bear,%K below %D (bearish cross),bear,Bearish zone,bull,Bounce off prior support,multi-day swing (20b),1096.5,936.51,bearish,997.63,R 38.2%,1035.38,R 61.8%,936.51,E 100.0%,892.99,E 127.2%,837.64,E 161.8%,1.62,2.77,4.24,936.51,E 100.0%,936.51,974.27,974.27,997.63,1016.51,1035.38,1062.26,936.51,892.99,875.39,837.64,776.52,677.65
ORLY,"O'Reilly Automotive, Inc.",89.49,,-3,2,5,Moderately bearish,250,Daily,bull,Bullish engulfing,bull,Significantly above trend,bear,Near 20-period SMA (below),bear,2 open gap(s) above (resistance),bear,%K below %D (bearish cross),bear,Bearish zone,bear,Break below prior support,session,90.57,85.35,bearish,87.34,R 38.2%,88.58,R 61.8%,85.35,E 100.0%,83.93,E 127.2%,82.12,E 161.8%,1.6,2.75,4.21,85.35,E 100.0%,89.45,,86.58,87.34,87.96,88.58,89.45,85.35,83.93,83.36,82.12,80.13,76.9
INTU,Intuit Inc.,293.78,,-4,1,5,Strong bearish,250,Daily,bear,Bearish bar,neutral,In line with trend,bear,Wide divergence below SMA,bear,8 open gap(s) above (resistance),bull,Oversold,bear,Bearish zone,bear,Below SMA (acting as resistance),session,363.18,291.18,bearish,318.68,R 38.2%,335.68,R 61.8%,291.18,E 100.0%,271.6,E 127.2%,246.68,E 161.8%,1.62,2.77,4.24,291.18,E 100.0%,291.18,308.17,308.17,318.68,327.18,335.68,347.77,291.18,271.6,263.68,246.68,219.18,174.68
BKR,Baker Hughes Company,63.55,,-4,1,5,Strong bearish,250,Daily,bear,Bearish engulfing,neutral,In line with trend,bear,Near 20-period SMA (below),bull,5 open gap(s) below (support),bear,%K below %D (bearish cross),bear,Bearish zone,bear,Below SMA (acting as resistance),session,66.24,62.34,bearish,63.83,R 38.2%,64.75,R 61.8%,62.34,E 100.0%,61.28,E 127.2%,59.93,E 161.8%,1.62,2.77,4.24,62.34,E 100.0%,63.26,63.83,63.26,63.83,64.29,64.75,65.41,62.34,61.28,60.85,59.93,58.44,56.03
REGN,"Regeneron Pharmaceuticals, Inc.",616.18,,-5,0,5,Strong bearish,250,Daily,bear,Bearish bar,neutral,In line with trend,bear,Near 20-period SMA (below),neutral,Open gaps above and below,bear,%K below %D (bearish cross),bear,Bearish zone,bear,Below SMA (acting as resistance),multi-day swing (20b),729.5,591.52,bearish,644.23,R 38.2%,676.79,R 61.8%,591.52,E 100.0%,553.99,E 127.2%,506.25,E 161.8%,1.62,2.77,4.24,591.52,E 100.0%,591.52,624.08,624.08,644.23,660.51,676.79,699.97,591.52,553.99,538.81,506.25,453.54,368.27
